Dataset name: ptbdb, Model name: vanilla_rnn, Transfer learning: True, RNN freeze: never, RNN Bidirectional: False, RNN Num Layers: 1
Total number of trainable parameters in vanilla_rnn model: 17413
Train ptbdb | Epoch: 9, cross_entropy_loss: 0.694, unbalanced_acc_score: 0.388, balanced_acc_score: 0.5, roc_auc_score: 0.488, pr_auc_score: 0.715
Validation ptbdb | Epoch: 9, cross_entropy_loss: 0.694, unbalanced_acc_score: 0.72, balanced_acc_score: 0.5, roc_auc_score: 0.502, pr_auc_score: 0.721
Train ptbdb | Epoch: 10, cross_entropy_loss: 0.693, unbalanced_acc_score: 0.538, balanced_acc_score: 0.489, roc_auc_score: 0.49, pr_auc_score: 0.714
Validation ptbdb | Epoch: 10, cross_entropy_loss: 0.694, unbalanced_acc_score: 0.28, balanced_acc_score: 0.5, roc_auc_score: 0.502, pr_auc_score: 0.721
Saving the best checkpoint...
Train ptbdb | Epoch: 11, cross_entropy_loss: 0.693, unbalanced_acc_score: 0.449, balanced_acc_score: 0.492, roc_auc_score: 0.496, pr_auc_score: 0.717
Validation ptbdb | Epoch: 11, cross_entropy_loss: 0.694, unbalanced_acc_score: 0.72, balanced_acc_score: 0.5, roc_auc_score: 0.502, pr_auc_score: 0.721
Train ptbdb | Epoch: 12, cross_entropy_loss: 0.694, unbalanced_acc_score: 0.552, balanced_acc_score: 0.502, roc_auc_score: 0.497, pr_auc_score: 0.716
Validation ptbdb | Epoch: 12, cross_entropy_loss: 0.694, unbalanced_acc_score: 0.28, balanced_acc_score: 0.5, roc_auc_score: 0.501, pr_auc_score: 0.721
Train ptbdb | Epoch: 13, cross_entropy_loss: 0.694, unbalanced_acc_score: 0.489, balanced_acc_score: 0.503, roc_auc_score: 0.499, pr_auc_score: 0.718
Validation ptbdb | Epoch: 13, cross_entropy_loss: 0.694, unbalanced_acc_score: 0.28, balanced_acc_score: 0.5, roc_auc_score: 0.502, pr_auc_score: 0.721
Saving the best checkpoint...
Train ptbdb | Epoch: 14, cross_entropy_loss: 0.693, unbalanced_acc_score: 0.278, balanced_acc_score: 0.5, roc_auc_score: 0.488, pr_auc_score: 0.713
Validation ptbdb | Epoch: 14, cross_entropy_loss: 0.694, unbalanced_acc_score: 0.28, balanced_acc_score: 0.5, roc_auc_score: 0.501, pr_auc_score: 0.721
Saving the best checkpoint...
Train ptbdb | Epoch: 15, cross_entropy_loss: 0.693, unbalanced_acc_score: 0.278, balanced_acc_score: 0.5, roc_auc_score: 0.481, pr_auc_score: 0.706
Validation ptbdb | Epoch: 15, cross_entropy_loss: 0.694, unbalanced_acc_score: 0.28, balanced_acc_score: 0.5, roc_auc_score: 0.501, pr_auc_score: 0.721
Train ptbdb | Epoch: 16, cross_entropy_loss: 0.693, unbalanced_acc_score: 0.293, balanced_acc_score: 0.495, roc_auc_score: 0.493, pr_auc_score: 0.713
Validation ptbdb | Epoch: 16, cross_entropy_loss: 0.694, unbalanced_acc_score: 0.28, balanced_acc_score: 0.5, roc_auc_score: 0.501, pr_auc_score: 0.721
Train ptbdb | Epoch: 17, cross_entropy_loss: 0.693, unbalanced_acc_score: 0.321, balanced_acc_score: 0.496, roc_auc_score: 0.488, pr_auc_score: 0.714
Validation ptbdb | Epoch: 17, cross_entropy_loss: 0.694, unbalanced_acc_score: 0.28, balanced_acc_score: 0.5, roc_auc_score: 0.501, pr_auc_score: 0.721
Train ptbdb | Epoch: 18, cross_entropy_loss: 0.693, unbalanced_acc_score: 0.278, balanced_acc_score: 0.5, roc_auc_score: 0.486, pr_auc_score: 0.712
Validation ptbdb | Epoch: 18, cross_entropy_loss: 0.694, unbalanced_acc_score: 0.28, balanced_acc_score: 0.5, roc_auc_score: 0.501, pr_auc_score: 0.721
Train ptbdb | Epoch: 19, cross_entropy_loss: 0.693, unbalanced_acc_score: 0.288, balanced_acc_score: 0.498, roc_auc_score: 0.492, pr_auc_score: 0.714
Validation ptbdb | Epoch: 19, cross_entropy_loss: 0.694, unbalanced_acc_score: 0.28, balanced_acc_score: 0.5, roc_auc_score: 0.502, pr_auc_score: 0.721
Train ptbdb | Epoch: 20, cross_entropy_loss: 0.692, unbalanced_acc_score: 0.469, balanced_acc_score: 0.49, roc_auc_score: 0.486, pr_auc_score: 0.713
Validation ptbdb | Epoch: 20, cross_entropy_loss: 0.694, unbalanced_acc_score: 0.28, balanced_acc_score: 0.5, roc_auc_score: 0.502, pr_auc_score: 0.721
Train ptbdb | Epoch: 21, cross_entropy_loss: 0.693, unbalanced_acc_score: 0.293, balanced_acc_score: 0.496, roc_auc_score: 0.491, pr_auc_score: 0.715
Validation ptbdb | Epoch: 21, cross_entropy_loss: 0.694, unbalanced_acc_score: 0.28, balanced_acc_score: 0.5, roc_auc_score: 0.502, pr_auc_score: 0.721
Train ptbdb | Epoch: 22, cross_entropy_loss: 0.693, unbalanced_acc_score: 0.278, balanced_acc_score: 0.5, roc_auc_score: 0.492, pr_auc_score: 0.716
Validation ptbdb | Epoch: 22, cross_entropy_loss: 0.694, unbalanced_acc_score: 0.28, balanced_acc_score: 0.5, roc_auc_score: 0.502, pr_auc_score: 0.721
Train ptbdb | Epoch: 23, cross_entropy_loss: 0.693, unbalanced_acc_score: 0.35, balanced_acc_score: 0.495, roc_auc_score: 0.491, pr_auc_score: 0.714
